Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
22	TR	A0A3R9CQ12	Beta-lactamase OS=Acinetobacter sp. FDAARGOS_558 OX=2420303 GN=EGT34_19490 PE=3 SV=1	Acinetobacter sp. FDAARGOS_558	286	1342	99.6	99.6	0.0
23	TR	A0A5Q5EKM1	Beta-lactamase OS=Enterobacter sp. CRENT-193 OX=2051905 GN=CU081_25070 PE=3 SV=1	Enterobacter sp. CRENT-193	286	1342	99.6	99.6	0.0
24	TR	A0A829L975	Beta-lactamase OS=Escherichia coli 907889 OX=1268989 GN=HMPREF1602_00715 PE=3 SV=1	Escherichia coli 907889	286	1342	99.6	99.6	0.0
25	TR	A0A377IYU5	Beta-lactamase OS=Haemophilus pittmaniae OX=249188 GN=bla PE=3 SV=1	Haemophilus pittmaniae	286	1342	99.6	99.6	0.0
26	TR	A0A6D1JIZ2	Beta-lactamase OS=Salmonella thompson OX=600 GN=FKO09_23760 PE=3 SV=1	Salmonella thompson	286	1342	99.6	99.6	0.0
27	TR	A0A3S7HPW9	Beta-lactamase OS=Citrobacter sp. CFNIH10 OX=1920110 GN=blaTEM PE=3 SV=1	Citrobacter sp. CFNIH10	286	1342	99.6	99.6	0.0
28	TR	V5AYV5	Beta-lactamase OS=Methyloglobulus morosus KoM1 OX=1116472 GN=bla PE=3 SV=1	Methyloglobulus morosus KoM1	286	1342	99.6	99.6	0.0
29	TR	A0A021X1E3	Beta-lactamase OS=Shinella sp. DD12 OX=1410620 GN=SHLA_131c000020 PE=3 SV=1	Shinella sp. DD12	286	1342	99.6	99.6	0.0
30	TR	A0A502LFB6	Beta-lactamase OS=Haemophilus haemolyticus OX=726 GN=EUX48_05295 PE=3 SV=1	Haemophilus haemolyticus	286	1342	99.6	99.6	0.0
31	TR	A0A6G6SZ46	Beta-lactamase OS=Proteus terrae subsp. cibarius OX=626774 GN=GTH25_18210 PE=3 SV=1	Proteus terrae subsp. cibarius	286	1342	99.6	99.6	0.0
32	TR	A0A8H9PX75	Beta-lactamase OS=Aeromonas hydrophila OX=644 GN=I8303_005202 PE=3 SV=1	Aeromonas hydrophila	286	1342	99.6	99.6	0.0
33	TR	A0A8S7UCT4	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM PE=3 SV=1	Escherichia coli	291	1342	99.6	99.6	0.0
34	TR	A0A7T8NR89	Beta-lactamase OS=Aeromonas media OX=651 GN=JJL53_24600 PE=3 SV=1	Aeromonas media	286	1342	99.6	99.6	0.0
35	TR	D8ACK4	Beta-lactamase OS=Escherichia coli (strain MS 21-1) OX=749527 GN=HMPREF9530_04296 PE=3 SV=1	Escherichia coli (strain MS 21-1)	286	1342	99.6	99.6	0.0
36	TR	A0A0F3YEJ1	Beta-lactamase OS=Enterobacter asburiae OX=61645 GN=blaTEM PE=3 SV=1	Enterobacter asburiae	286	1342	99.6	99.6	0.0
37	TR	A7Z0C2	Beta-lactamase OS=Haemophilus influenzae (strain 86-028NP) OX=281310 GN=NTHI2055 PE=3 SV=1	Haemophilus influenzae (strain 86-028NP)	286	1342	99.6	99.6	0.0
38	TR	A0A0E0Y7Z8	Beta-lactamase OS=Escherichia coli O104:H4 (strain 2011C-3493) OX=1133852 GN=O3K_25812 PE=3 SV=1	Escherichia coli O104:H4 (strain 2011C-3493)	286	1342	99.6	99.6	0.0
39	TR	A0A9X9AZZ1	Beta-lactamase OS=Salmonella enterica OX=28901 GN=FJR52_25585 PE=3 SV=1	Salmonella enterica	286	1342	99.6	99.6	0.0
40	TR	A0A5J6WAD4	Beta-lactamase OS=Enterobacter sp. E76 OX=2596949 GN=FR762_24825 PE=3 SV=1	Enterobacter sp. E76	286	1342	99.6	99.6	0.0
41	TR	A0A9X7PUQ0	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar 4,12:i:- OX=353569 GN=blaTEM PE=3 SV=1	Salmonella enterica subsp. enterica serovar 4,12:i:-	286	1342	99.6	99.6	0.0
42	TR	A0A9P2U924	Beta-lactamase OS=Acinetobacter baumannii UH5307 OX=1398973 GN=P669_1712 PE=3 SV=1	Acinetobacter baumannii UH5307	286	1342	99.6	99.6	0.0
43	TR	A0A7U3Y420	Beta-lactamase OS=Acinetobacter baumannii (strain AB0057) OX=480119 GN=blaTEM PE=3 SV=1	Acinetobacter baumannii (strain AB0057)	286	1342	99.6	99.6	0.0
44	TR	A0A427ULV6	Beta-lactamase OS=Atlantibacter subterranea OX=255519 GN=EGT71_23210 PE=3 SV=1	Atlantibacter subterranea	286	1342	99.6	99.6	0.0
45	TR	A0A9P3TP64	Beta-lactamase OS=Citrobacter freundii OX=546 GN=blaTEM PE=3 SV=1	Citrobacter freundii	279	1342	99.6	99.6	0.0
46	TR	A0A2T9V0S6	Beta-lactamase OS=Enterobacter sp. HN503E2II OX=2041079 GN=CP955_17430 PE=3 SV=1	Enterobacter sp. HN503E2II	286	1342	99.6	99.6	0.0
47	TR	A0A2W5R112	Beta-lactamase OS=Acinetobacter johnsonii OX=40214 GN=blaTEM PE=3 SV=1	Acinetobacter johnsonii	286	1342	99.6	99.6	0.0
48	TR	A0A2G8EF26	Beta-lactamase OS=Erwinia sp. OLSSP12 OX=1912096 GN=BK416_07790 PE=3 SV=1	Erwinia sp. OLSSP12	286	1342	99.6	99.6	0.0
49	TR	A0A556RUJ1	Beta-lactamase OS=Gilliamella apicola OX=1196095 GN=FPQ15_14335 PE=3 SV=1	Gilliamella apicola	286	1342	99.6	99.6	0.0
50	TR	A0A0F0XMD2	Beta-lactamase OS=Enterobacter kobei OX=208224 GN=B9Q37_15975 PE=3 SV=1	Enterobacter kobei	286	1342	99.6	99.6	0.0
51	TR	A0A7U9IU31	Beta-lactamase OS=Escherichia coli HVH 36 (4-5675286) OX=1280986 GN=G711_04793 PE=3 SV=1	Escherichia coli HVH 36 (4-5675286)	286	1342	99.6	99.6	0.0
52	TR	A0A6C7I6I7	Beta-lactamase OS=Salmonella typhimurium (strain D23580) OX=568708 GN=blaT PE=3 SV=1	Salmonella typhimurium (strain D23580)	286	1342	99.6	99.6	0.0
53	TR	A0A083ZW36	Beta-lactamase OS=Serratia sp. DD3 OX=1410619 GN=bla_2 PE=3 SV=1	Serratia sp. DD3	286	1342	99.6	99.6	0.0
54	TR	A0A558F271	Beta-lactamase OS=Acinetobacter colistiniresistens OX=280145 GN=FPV60_14740 PE=3 SV=1	Acinetobacter colistiniresistens	286	1342	99.6	99.6	0.0
55	TR	A0A1X3J873	Beta-lactamase OS=Escherichia coli H386 OX=656397 GN=ECVG_05029 PE=3 SV=1	Escherichia coli H386	286	1342	99.6	99.6	0.0
56	TR	A0A0H3EUC9	Beta-lactamase OS=Escherichia coli O83:H1 (strain NRG 857C / AIEC) OX=685038 GN=NRG857_30085 PE=3 SV=1	Escherichia coli O83:H1 (strain NRG 857C / AIEC)	286	1342	99.6	99.6	0.0
57	TR	A0A7I0KNG8	Beta-lactamase OS=Escherichia coli O25b:H4 OX=941280 GN=EWT59_28570 PE=3 SV=1	Escherichia coli O25b:H4	286	1342	99.6	99.6	0.0
58	TR	A0A0U1RF88	Beta-lactamase OS=Salmonella schwarzengrund (strain CVM19633) OX=439843 GN=blaT PE=3 SV=1	Salmonella schwarzengrund (strain CVM19633)	286	1342	99.6	99.6	0.0
59	TR	A0A828SNP1	Beta-lactamase OS=Acinetobacter baumannii 6014059 OX=525242 GN=HMPREF0022_02532 PE=3 SV=1	Acinetobacter baumannii 6014059	286	1342	99.6	99.6	0.0
60	TR	A0A378CM31	Beta-lactamase OS=Klebsiella pneumoniae OX=573 GN=bla_9 PE=3 SV=1	Klebsiella pneumoniae	280	1342	99.6	99.6	0.0
61	TR	A0A6C7HKT0	Beta-lactamase OS=Salmonella paratyphi A (strain AKU_12601) OX=554290 GN=bla PE=3 SV=1	Salmonella paratyphi A (strain AKU_12601)	286	1342	99.6	99.6	0.0
62	TR	A0A5H6BE34	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Panama OX=29472 GN=blaTEM PE=3 SV=1	Salmonella enterica subsp. enterica serovar Panama	286	1342	99.6	99.6	0.0
63	TR	E6BU25	Beta-lactamase OS=Escherichia coli MS 85-1 OX=679202 GN=HMPREF9350_05949 PE=3 SV=1	Escherichia coli MS 85-1	286	1342	99.6	99.6	0.0
64	TR	A8R706	Beta-lactamase OS=Salmonella dublin OX=98360 GN=blaTEM-1 PE=3 SV=1	Salmonella dublin	286	1342	99.6	99.6	0.0
65	TR	A6TIL8	Beta-lactamase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578) OX=272620 GN=bla PE=3 SV=1	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	286	1342	99.6	99.6	0.0
66	TR	Q7DFY3	Beta-lactamase OS=Salmonella enteritidis OX=149539 GN=blaTEM-1b PE=3 SV=1	Salmonella enteritidis	286	1342	99.6	99.6	0.0
67	TR	Q5QJI7	Beta-lactamase OS=Salmonella typhimurium OX=90371 GN=blaTEM1 PE=3 SV=1	Salmonella typhimurium	286	1342	99.6	99.6	0.0
68	TR	A0A3U3EXK5	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Stanley OX=192953 GN=blaTEM PE=3 SV=1	Salmonella enterica subsp. enterica serovar Stanley	286	1342	99.6	99.6	0.0
69	TR	A0A2Z3XFL1	Beta-lactamase OS=Citrobacter sp. CRE-46 OX=1703250 GN=blaTEM PE=3 SV=1	Citrobacter sp. CRE-46	286	1342	99.6	99.6	0.0
70	TR	Q7DHD3	Beta-lactamase OS=Serratia marcescens OX=615 GN=blaTEM PE=3 SV=1	Serratia marcescens	286	1342	99.6	99.6	0.0
71	TR	B7L3U1	Beta-lactamase OS=Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73) OX=585054 GN=bla PE=3 SV=1	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73)	286	1342	99.6	99.6	0.0
72	TR	A0AA37AH12	Beta-lactamase OS=Enterobacter sp. MGH 15 OX=1329824 GN=L361_04624 PE=3 SV=1	Enterobacter sp. MGH 15	286	1342	99.6	99.6	0.0
73	TR	Q6A253	Beta-lactamase OS=Haemophilus influenzae OX=727 GN=bla PE=3 SV=1	Haemophilus influenzae	286	1342	99.6	99.6	0.0
74	TR	A0A2T9HQR8	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Agona OX=58095 GN=blaTEM PE=3 SV=1	Salmonella enterica subsp. enterica serovar Agona	286	1342	99.6	99.6	0.0
75	TR	F8UV12	Beta-lactamase OS=Leclercia adecarboxylata OX=83655 GN=blaTEM-1 PE=3 SV=1	Leclercia adecarboxylata	286	1342	99.6	99.6	0.0
76	TR	A0A232GLN4	Beta-lactamase OS=Klebsiella quasipneumoniae OX=1463165 GN=blaTEM PE=3 SV=1	Klebsiella quasipneumoniae	286	1342	99.6	99.6	0.0
77	TR	Q0QXE5	Beta-lactamase OS=Pseudomonas putida OX=303 GN=bla(TEM-1) PE=3 SV=1	Pseudomonas putida	286	1342	99.6	99.6	0.0
78	TR	H9TK72	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Heidelberg OX=611 GN=blaTEM-1 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Heidelberg	286	1342	99.6	99.6	0.0
79	TR	A0A0H3H688	Beta-lactamase OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_p200640 PE=3 SV=1	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	286	1342	99.6	99.6	0.0
80	TR	B2G2N1	Beta-lactamase OS=Providencia rettgeri OX=587 GN=bla PE=3 SV=1	Providencia rettgeri	286	1342	99.6	99.6	0.0
81	TR	Q5XX10	Beta-lactamase OS=Proteus mirabilis OX=584 GN=blaTEM-1b PE=3 SV=1	Proteus mirabilis	286	1342	99.6	99.6	0.0
82	TR	Q6SJ61	Beta-lactamase OS=Escherichia coli OX=562 GN=TEM-1 PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
83	TR	A0A0E3KB17	Beta-lactamase OS=Klebsiella pneumoniae subsp. pneumoniae OX=72407 GN=blaTEM-1 PE=3 SV=1	Klebsiella pneumoniae subsp. pneumoniae	286	1342	99.6	99.6	0.0
84	TR	W8ZTI5	Beta-lactamase OS=Escherichia coli O25b:H4-ST131 OX=941322 GN=blaTEM-1 PE=3 SV=1	Escherichia coli O25b:H4-ST131	286	1342	99.6	99.6	0.0
85	TR	A0A927HQQ7	Beta-lactamase OS=Klebsiella pneumoniae OX=573 GN=blaTEM PE=3 SV=1	Klebsiella pneumoniae	291	1342	99.6	99.6	0.0
86	TR	B5SZN3	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Kentucky OX=192955 GN=blaTEM-1 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Kentucky	286	1342	99.6	99.6	0.0
87	TR	G4WFL5	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar 4,[5],12:i:- OX=440524 GN=blaTEM-1 PE=3 SV=1	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	286	1342	99.6	99.6	0.0
88	TR	A0A328HUR6	Beta-lactamase OS=Enterobacter hormaechei OX=158836 GN=B9Q30_26515 PE=3 SV=1	Enterobacter hormaechei	286	1342	99.6	99.6	0.0
89	TR	Q7B899	Beta-lactamase OS=Klebsiella pneumoniae OX=573 GN=bla PE=3 SV=1	Klebsiella pneumoniae	286	1342	99.6	99.6	0.0
90	TR	A0A0P8PZD0	Beta-lactamase OS=Enterobacter cloacae subsp. cloacae OX=336306 GN=blaTEM PE=3 SV=1	Enterobacter cloacae subsp. cloacae	286	1342	99.6	99.6	0.0
91	TR	Q7B3X5	Beta-lactamase OS=Citrobacter freundii OX=546 GN=blaTEM1 PE=3 SV=1	Citrobacter freundii	286	1342	99.6	99.6	0.0
92	TR	C3W8J9	Beta-lactamase OS=Salmonella enterica I OX=59201 GN=bla TEM-1 PE=3 SV=1	Salmonella enterica I	286	1342	99.6	99.6	0.0
93	TR	Q6WZD4	Beta-lactamase OS=Acinetobacter baumannii OX=470 GN=blaTEM-1 PE=3 SV=1	Acinetobacter baumannii	286	1342	99.6	99.6	0.0
94	TR	A0A3S5I3U6	Beta-lactamase OS=Citrobacter werkmanii OX=67827 GN=bla_3 PE=3 SV=1	Citrobacter werkmanii	286	1342	99.6	99.6	0.0
95	TR	G8A3U6	Beta-lactamase OS=Shigella boydii OX=621 GN=blaTEM-1 PE=3 SV=1	Shigella boydii	286	1342	99.6	99.6	0.0
96	TR	A0A263HJ39	Beta-lactamase OS=Gallibacterium anatis OX=750 GN=CF557_04245 PE=3 SV=1	Gallibacterium anatis	286	1342	99.6	99.6	0.0
97	TR	A0A8B3JWU1	Beta-lactamase OS=Enterobacter mori OX=539813 GN=EKN29_25625 PE=3 SV=1	Enterobacter mori	286	1342	99.6	99.6	0.0
98	TR	A0A5B0T9U6	Beta-lactamase OS=Citrobacter portucalensis OX=1639133 GN=D3H66_25520 PE=3 SV=1	Citrobacter portucalensis	286	1342	99.6	99.6	0.0
99	TR	Q6W9J1	Beta-lactamase OS=Enterobacter cloacae OX=550 GN=blaTEM-1 PE=3 SV=1	Enterobacter cloacae	286	1342	99.6	99.6	0.0
100	TR	A0A0J2JNW9	Beta-lactamase OS=Klebsiella michiganensis OX=1134687 GN=CWM85_01980 PE=3 SV=1	Klebsiella michiganensis	286	1342	99.6	99.6	0.0
101	TR	B0B7B4	Beta-lactamase OS=Haemophilus parainfluenzae OX=729 GN=blaTEM-1 PE=3 SV=1	Haemophilus parainfluenzae	286	1342	99.6	99.6	0.0
102	TR	A0A1P8DQ06	Beta-lactamase OS=Vibrio parahaemolyticus OX=670 GN=EHC69_27730 PE=3 SV=1	Vibrio parahaemolyticus	286	1342	99.6	99.6	0.0
103	TR	A0AA43AJY9	Beta-lactamase OS=Aeromonas caviae OX=648 GN=N5I07_23105 PE=3 SV=1	Aeromonas caviae	286	1342	99.6	99.6	0.0
104	TR	G8A3T2	Beta-lactamase OS=Citrobacter braakii OX=57706 GN=blaTEM-1 PE=3 SV=1	Citrobacter braakii	286	1342	99.6	99.6	0.0
105	TR	A0A9P2J2K1	Class A broad-spectrum beta-lactamase TEM-1 OS=Shigella flexneri OX=623 GN=C0786_001822 PE=4 SV=1	Shigella flexneri	286	1342	99.6	99.6	0.0
106	TR	A0A8H9PML6	Beta-lactamase OS=Kluyvera intermedia OX=61648 GN=I8531_004351 PE=3 SV=1	Kluyvera intermedia	286	1342	99.6	99.6	0.0
107	TR	A0A8I0MRS3	Beta-lactamase OS=Citrobacter amalonaticus OX=35703 GN=FOT72_26920 PE=3 SV=1	Citrobacter amalonaticus	286	1342	99.6	99.6	0.0
108	TR	A0A3V0PRH6	Beta-lactamase OS=Salmonella diarizonae OX=59204 GN=blaTEM PE=3 SV=1	Salmonella diarizonae	286	1342	99.6	99.6	0.0
109	TR	A0A433LHP2	Beta-lactamase OS=Aeromonas veronii OX=654 GN=bla PE=3 SV=1	Aeromonas veronii	286	1342	99.6	99.6	0.0
110	TR	A0A387K1C4	Beta-lactamase OS=Enterobacter hormaechei subsp. xiangfangensis OX=1296536 GN=KJW67_p00255 PE=3 SV=1	Enterobacter hormaechei subsp. xiangfangensis	286	1342	99.6	99.6	0.0
111	TR	A0A7H0EW58	Beta-lactamase OS=Klebsiella variicola OX=244366 GN=IAP99_28300 PE=3 SV=1	Klebsiella variicola	286	1342	99.6	99.6	0.0
112	TR	A0A777QYV9	Beta-lactamase OS=Escherichia albertii OX=208962 GN=BL468_004702 PE=3 SV=1	Escherichia albertii	286	1342	99.6	99.6	0.0
113	TR	A0A9W3M2A1	Beta-lactamase OS=Enterobacter cloacae ECNIH2 OX=1333850 GN=ECNIH2_25775 PE=3 SV=1	Enterobacter cloacae ECNIH2	286	1342	99.6	99.6	0.0
114	TR	N0GUG5	Beta-lactamase OS=Shigella sonnei OX=624 GN=bla PE=3 SV=1	Shigella sonnei	286	1342	99.6	99.6	0.0
115	TR	A0A0E1CM63	Beta-lactamase OS=Klebsiella pneumoniae 30660/NJST258_1 OX=1420012 GN=KPNJ1_05666 PE=3 SV=1	Klebsiella pneumoniae 30660/NJST258_1	286	1342	99.6	99.6	0.0
116	TR	A0A097GBQ5	Beta-lactamase OS=Vibrio cholerae OX=666 GN=bla TEM-1 PE=3 SV=1	Vibrio cholerae	286	1342	99.6	99.6	0.0
117	TR	A0A1L5KWE7	Beta-lactamase (Fragment) OS=uncultured bacterium OX=77133 PE=3 SV=1	uncultured bacterium	281	1342	99.6	99.6	0.0
118	TR	K7SQU6	Beta-lactamase OS=Candidatus Snodgrassella sp. A3_16_30642 OX=1193507 PE=3 SV=1	Candidatus Snodgrassella sp. A3_16_30642	286	1342	99.6	99.6	0.0
119	TR	D2WFA7	Beta-lactamase OS=Escherichia coli O26:H- OX=376724 GN=blaTEM1 PE=3 SV=1	Escherichia coli O26:H-	286	1342	99.6	99.6	0.0
120	TR	A0AA96YYW1	Broad-spectrum class A beta-lactamase TEM-1 OS=Providencia sp. PROV040 OX=2949771 GN=P3L40_25060 PE=4 SV=1	Providencia sp. PROV040	286	1342	99.6	99.6	0.0
121	TR	C8C157	Beta-lactamase OS=mixed culture bacterium PE_gF3SD01_02 OX=663171 PE=3 SV=1	mixed culture bacterium PE_gF3SD01_02	286	1342	99.6	99.6	0.0
122	TR	A2T9C1	Beta-lactamase OS=Enterobacter sp. EN712 OX=419229 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN712	286	1342	99.6	99.6	0.0
123	TR	C8C164	Beta-lactamase OS=mixed culture bacterium PE_gF3SD01_08 OX=663175 PE=3 SV=1	mixed culture bacterium PE_gF3SD01_08	286	1342	99.6	99.6	0.0
124	TR	A2T9A9	Beta-lactamase OS=Citrobacter sp. CI888 OX=419219 GN=blaTEM-1 PE=3 SV=1	Citrobacter sp. CI888	286	1342	99.6	99.6	0.0
125	TR	Q4AE67	Beta-lactamase OS=Escherichia coli O157:H7 OX=83334 GN=blaTEM-1 PE=3 SV=1	Escherichia coli O157:H7	286	1342	99.6	99.6	0.0
126	TR	C8C184	Beta-lactamase OS=mixed culture bacterium PI_gF3SD01_21 OX=663184 PE=3 SV=1	mixed culture bacterium PI_gF3SD01_21	286	1342	99.6	99.6	0.0
127	TR	A0A142CLK9	Beta-lactamase OS=Shigella dysenteriae OX=622 GN=blaTEM-1B PE=3 SV=1	Shigella dysenteriae	286	1342	99.6	99.6	0.0
128	TR	A2T998	Beta-lactamase OS=Acinetobacter sp. AC35 OX=419215 GN=blaTEM-1 PE=3 SV=1	Acinetobacter sp. AC35	286	1342	99.6	99.6	0.0
129	TR	A0A218N9I4	Beta-lactamase OS=Acinetobacter sp. OX=472 GN=blaTEM-1 PE=3 SV=1	Acinetobacter sp.	286	1342	99.6	99.6	0.0
130	TR	F5CIR9	Beta-lactamase OS=Enterobacter sp. W001 OX=1027278 GN=bla-TEM-1b PE=3 SV=1	Enterobacter sp. W001	286	1342	99.6	99.6	0.0
131	TR	A0A8E6ILD5	Beta-lactamase OS=Salmonella enterica subsp. salamae OX=59202 GN=AIT66_24415 PE=3 SV=1	Salmonella enterica subsp. salamae	286	1342	99.6	99.6	0.0
132	TR	A0A7G1GDM1	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Albany OX=211968 GN=blaTEM-1 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Albany	286	1342	99.6	99.6	0.0
133	TR	A0A1S7H7H3	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810 OX=1454647 GN=AW45_26230 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810	286	1342	99.6	99.6	0.0
134	TR	A2T9A7	Beta-lactamase OS=Citrobacter sp. CI925 OX=419221 GN=blaTEM-1 PE=3 SV=1	Citrobacter sp. CI925	286	1342	99.6	99.6	0.0
135	TR	C8C0N9	Beta-lactamase OS=mixed culture bacterium CA_gF1DD01_13 OX=663127 PE=3 SV=1	mixed culture bacterium CA_gF1DD01_13	286	1342	99.6	99.6	0.0
136	TR	A2T9B2	Beta-lactamase OS=Enterobacter sp. EN723 OX=419232 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN723	286	1342	99.6	99.6	0.0
137	TR	C8C0K8	Beta-lactamase OS=mixed culture bacterium AX_gF3SD01_47 OX=663121 PE=3 SV=1	mixed culture bacterium AX_gF3SD01_47	286	1342	99.6	99.6	0.0
138	TR	A0A0D6A0M4	Beta-lactamase OS=Salmonella infantis OX=595 GN=blaTEM-20 PE=3 SV=1	Salmonella infantis	286	1342	99.6	99.6	0.0
139	TR	D3UT47	Beta-lactamase OS=Kluyvera georgiana OX=73098 GN=blaTEM-1b PE=3 SV=1	Kluyvera georgiana	286	1342	99.6	99.6	0.0
140	TR	A2T9B5	Beta-lactamase OS=Enterobacter sp. EN843 OX=419234 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN843	286	1342	99.6	99.6	0.0
141	TR	A2T9A5	Beta-lactamase OS=Acinetobacter sp. AC23 OX=419212 GN=blaTEM-1 PE=3 SV=1	Acinetobacter sp. AC23	286	1342	99.6	99.6	0.0
142	TR	A2T9B1	Beta-lactamase OS=Citrobacter sp. CI157 OX=419217 GN=blaTEM-1 PE=3 SV=1	Citrobacter sp. CI157	286	1342	99.6	99.6	0.0
143	TR	C8C0H0	Beta-lactamase OS=mixed culture bacterium AX_gF3SD01_08 OX=663101 PE=3 SV=1	mixed culture bacterium AX_gF3SD01_08	286	1342	99.6	99.6	0.0
